Task,Weight,Class Average,Date,Unit,Grade Group,Calculated Mark
Science 10 Chemistry Review ,0,81.276,9/15/2022,,,89.0
Gases Unit ,10,65.514,9/23/2022,,,87.0
Unit Open Note Assessment ,20,56.111,9/23/2022,,,PASS
Lab Assessment ,20,4.917,9/27/2022,,,75.0
Unit Exam ,60,71.393,9/27/2022,,,91.0
Chemical Bonding ,10,67.499,10/6/2022,,,84.39
3.1-3.2 Bonding Basics Quiz ,15,10.52,10/6/2022,,,80.0
3.3-3.4 Quiz ,15,12.423,10/12/2022,,,88.24
Open Note Assessment ,10,10.467,10/14/2022,,,87.5
Unit Exam ,60,66.846,10/14/2022,,,84.0
Solutions ,15,67.088,10/29/2022,,,77.02
5.1-5.3 Quiz ,15,8.16,10/29/2022,,,76.92
Open Note ,15,11.16,11/4/2022,,,86.67
Lab Assessment ,20,5.885,11/4/2022,,,45.0
Unit Exam ,50,15.992,11/4/2022,,,86.96
Stoichiometry ,20,74.922,11/18/2022,,,85.41
Stoich Quiz ,15,11.0,11/18/2022,,,53.33
Open Note Assessment ,15,8.696,12/4/2022,,,92.31
Lab Assessment ,20,8.3,12/4/2022,,,95.45
Unit Exam ,50,14.808,12/4/2022,,,88.95
Acids and Bases ,15,70.199,12/13/2022,,,81.18
CH. 6 Quiz ,15,10.833,12/13/2022,,,PASS
Open Note ,15,10.524,12/19/2022,,,66.67
Lab Assessment ,20,5.86,12/19/2022,,,75.0
Unit Exam ,50,78.36,12/19/2022,,,88.0
Final Exam ,30,66.458,1/27/2023,,,86.0
Final Exam ,100,66.458,1/27/2023,,,86.0
